"filename", "language", "XMake", "Lua", "Markdown", "JSON", "C++", "YAML", "comment", "blank", "total"
"f:\Project\levilamina\1.7.x\CFSP\src\cfsp\entrance\command\ComandManager.h", "C++", 0, 0, 0, 0, 19, 0, 1, 5, 25
"f:\Project\levilamina\1.7.x\CFSP\src\cfsp\entrance\command\GroupCommand.cpp", "C++", 0, 0, 0, 0, 588, 0, 15, 19, 622
"f:\Project\levilamina\1.7.x\CFSP\src\cfsp\entrance\command\GuiCommand.cpp", "C++", 0, 0, 0, 0, 41, 0, 3, 4, 48
"f:\Project\levilamina\1.7.x\CFSP\src\cfsp\entrance\command\SpCommand.cpp", "C++", 0, 0, 0, 0, 625, 0, 16, 24, 665
"f:\Project\levilamina\1.7.x\CFSP\src\cfsp\entrance\gui\GuiManager.cpp", "C++", 0, 0, 0, 0, 193, 0, 0, 12, 205
"f:\Project\levilamina\1.7.x\CFSP\src\cfsp\entrance\gui\GuiManager.h", "C++", 0, 0, 0, 0, 156, 0, 0, 7, 163
"f:\Project\levilamina\1.7.x\CFSP\src\cfsp\entrance\gui\OperateGroupGui.cpp", "C++", 0, 0, 0, 0, 936, 0, 0, 95, 1031
"f:\Project\levilamina\1.7.x\CFSP\src\cfsp\entrance\gui\OperateSpGui.cpp", "C++", 0, 0, 0, 0, 1007, 0, 0, 97, 1104
"f:\Project\levilamina\1.7.x\CFSP\src\lang\en_US.json", "JSON", 0, 0, 0, 314, 0, 0, 0, 0, 314
"f:\Project\levilamina\1.7.x\CFSP\src\lang\zh_CN.json", "JSON", 0, 0, 0, 314, 0, 0, 0, 0, 314
"f:\Project\levilamina\1.7.x\CFSP\tooth.json", "JSON", 0, 0, 0, 26, 0, 0, 0, 0, 26
"f:\Project\levilamina\1.7.x\CFSP\xmake.lua", "XMake", 58, 0, 0, 0, 0, 0, 3, 8, 69
"Total", "-", 0, 0, 44, 308, 256, 0, 33, 81, 722
